vendor_id,pickup_dayofweek,pickup_hour,dropoff_dayofweek,dropoff_hour,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,trip_duration,dist_meters,wait_sec,speed
Quito,2,4,2,5,-78.49817106,-0.09921070546,-78.48604315,-0.1061060244,766,3642,307,28.56470588
Quito,2,5,2,5,-78.48773057,-0.206846163,-78.48190312,-0.19214072,676,2229,373,26.48316832
Quito,2,5,2,5,-78.50497461,-0.1770252677,-78.4952276,-0.147104042,662,6423,97,40.92530973
Quito,2,5,2,5,-78.48185365,-0.1921424827,-78.49765052,-0.26206344,2243,16476,443,32.952
Quito,2,5,2,5,-78.53318854,-0.2441349968,-78.52365236,-0.2519091,334,1800,86,26.12903226
Quito,2,5,2,6,-78.50481971,-0.1768055944,-78.50088721,-0.1892381467,883,2931,415,22.54615385
Quito,2,6,2,6,-78.49991,-0.1613333,-78.49818733,-0.1606821387,85,207,48,20.14054054
Quito,2,6,2,6,-78.47304852,-0.08309611412,-78.48591854,-0.153593276,1161,9378,293,38.89493088
Quito,2,6,2,6,-78.49925748,-0.20040952,-78.50997453,-0.2099083082,627,2457,208,21.11026253
Quito,2,6,2,6,-78.50805522,-0.2120395362,-78.49659979,-0.218830569,474,2523,136,26.87218935
Quito,2,6,2,6,-78.47585026,-0.1620367434,-78.49790553,-0.1291654598,2034,7343,1104,28.42451613
Quito,2,6,2,6,-78.48542043,-0.2024329516,-78.49248264,-0.1937301008,331,1665,152,33.48603352
Quito,2,7,2,7,-78.5048082,-0.1767923485,-78.48791197,-0.1896594425,659,4080,160,29.43486974
Quito,2,7,2,7,-78.50484364,-0.176992972,-78.51202605,-0.2232678684,1455,7791,463,28.27379032
Quito,2,7,2,7,-78.49047985,-0.1842070854,-78.49029633,-0.1593158849,718,2827,16,14.4974359
Quito,2,7,2,8,-78.49654368,-0.17603872,-78.48931942,-0.1723691,319,1313,191,36.928125
Quito,2,8,2,8,-78.48922488,-0.17239704,-78.48038361,-0.1785002036,360,1844,133,29.24405286
Quito,2,8,2,8,-78.500485,-0.1172933,-78.49168832,-0.12289266,480,1682,217,23.02357414
